sentence1,sentence2,score
A plane is taking off.,An air plane is taking off.,1
A man is playing a large flute.,A man is playing a flute.,0.76
A man is spreading shreded cheese on a pizza.,A man is spreading shredded cheese on an uncooked pizza.,0.76
Three men are playing chess.,Two men are playing chess.,0.52
A man is playing the cello.,A man seated is playing the cello.,0.85
Some men are fighting.,Two men are fighting.,0.85
A man is smoking.,A man is skating.,0.1
The man is playing the piano.,The man is playing the guitar.,0.32
A man is playing on a guitar and singing.,A woman is playing an acoustic guitar and singing.,0.44
A person is throwing a cat on to the ceiling.,A person throws a cat on the ceiling.,1
The man hit the other man with a stick.,The man spanked the other man with a stick.,0.84
A woman picks up and holds a baby kangaroo.,A woman picks up and holds a baby kangaroo in her arms.,0.92
A man is playing a flute.,A man is playing a bamboo flute.,0.77
A person is folding a piece of paper.,Someone is folding a piece of paper.,0.93
A man is running on the road.,A panda dog is running on the road.,0.33
A dog is trying to get bacon off his back.,A dog is trying to eat the bacon on its back.,0.75
The polar bear is sliding on the snow.,A polar bear is sliding across the snow.,1
A woman is writing.,A woman is swimming.,0.1
A cat is rubbing against baby's face.,A cat is rubbing against a baby.,0.76
The man is riding a horse.,A man is riding on a horse.,1
A man pours oil into a pot.,A man pours wine in a pot.,0.64
A man is playing a guitar.,A girl is playing a guitar.,0.56
A panda is sliding down a slide.,A panda slides down a slide.,0.92
A woman is eating something.,A woman is eating meat.,0.6
A woman peels a potato.,A woman is peeling a potato.,1
The boy fell off his bike.,A boy falls off his bike.,0.96
The woman is playing the flute.,A woman is playing a flute.,1
A rabbit is running from an eagle.,A hare is running from a eagle.,0.84
The woman is frying a breaded pork chop.,A woman is cooking a breaded pork chop.,0.84
A girl is flying a kite.,A girl running is flying a kite.,0.8
A man is riding a mechanical bull.,A man rode a mechanical bull.,0.8
The man is playing the guitar.,A man is playing a guitar.,0.98
A woman is dancing and singing with other women.,A woman is dancing and singing in the rain.,0.6
A man is slicing a bun.,A man is slicing an onion.,0.48
A man is pouring oil into a pan.,A man is pouring oil into a skillet.,0.84
A lion is playing with people.,A lion is playing with two men.,0.68
A dog rides a skateboard.,A dog is riding a skateboard.,1
Someone is carving a statue.,A man is carving a statue.,0.75
A woman is slicing an onion.,A man is cutting an onion.,0.55
A woman peels shrimp.,A woman is peeling shrimp.,1
A woman is frying fish.,A woman is cooking fish.,0.8
A woman is playing an electric guitar.,A woman is playing a guitar.,0.72
A baby tiger is playing with a ball.,A baby is playing with a doll.,0.32
A person is slicing a tomato.,A person is slicing some meat.,0.35
A person cuts an onion.,A person is cutting an onion.,1
A man is playing the piano.,A woman is playing the violin.,0.2
A woman is playing the flute.,A man is playing the guitar.,0.2
A man is cutting up a potato.,A man is cutting up carrots.,0.47
A kid is playing guitar.,A boy is playing a guitar.,0.76
